istation_id,sstation_name_eng,sstation_name_thai,saddress_number,svillage,sdistrict,sprovince,station_type,latitude,longitude
300201,MAE HONG SON,แม่ฮ่องสอน,103/1,ถนน.สิงหนาทบำรุง,จองคำ,แม่ฮ่องสอน,Synoptic Station,19.29897,97.97578
300202,MAE SARIANG,แม่สะเรียง,256,แหล่งพานิชย์,บ้านกาศ,แม่ฮ่องสอน,Synoptic Station,18.16667,97.93333
303201,CHIANG RAI,เชียงราย,405,10,บ้านดู่,เชียงราย,Synoptic Station,19.96139,99.88139
303301,CHAING RAI AGROMET.,เชียงราย สกษ.,72/1,1,รอบเวียง,เชียงราย,Synoptic Station,19.87083,99.78278
310201,PHAYAO,พะเยา,0,11,ต๋อม,พะเยา,Synoptic Station,19.13333,99.9
327202,DOI ANG KANG,ดอยอ่างขาง,-,บ้านนอแล,ม่อนปิน,เชียงใหม่,Synoptic Station,19.93139,99.04833
327301,MAE JO AGROMET.,แม่โจ้ สกษ.,80/6,12,หนองหาร,เชียงใหม่,Synoptic Station,18.78333,98.98333
327501,CHIANG MAI,เชียงใหม่,บริษัทวิทยุการบินเชียงใหม่,สนามบินเชียงใหม่,สุเทพ,เชียงใหม่,Synoptic Station,18.79,98.97694
328201,LAMPANG,ลำปาง,149,ถนนสนามบิน 1,ตำบลพระบาท,ลำปาง,Synoptic Station,18.28333,99.51667
328202,THOEN,เถิน,317,7,ล้อมแรด,ลำปาง,Synoptic Station,17.63661,99.24475
328301,LAMPANG AGROMET.,ลำปาง สกษ.,-,-,เวียงตาล,ลำปาง,Synoptic Station,18.31667,99.28333
329201,LAMPHUN,ลำพูน,90,หมู่ 10 ถ.ลำพูน - ดอยติ,บ้านกลาง,ลำพูน,Synoptic Station,18.56722,99.03389
330201,PHRAE,แพร่,73/1,หมู่ 2   ถนช่อแฮ,นาจักร,แพร่,Synoptic Station,18.16667,100.16667
331201,NAN,น่าน,1,ยันตรกิจโกศล,ดู่ใต้,น่าน,Synoptic Station,18.77972,100.77778
331301,NAN AGROMET.,น่าน สกษ.,128,น่าน-ทุ่งช้าง,ผาสิงห์,น่าน,Synoptic Station,18.86667,100.75
331401,THA WANGPHA,ท่าวังผา,101 ,หมู่ที่ 4,ท่าวังผา,น่าน,Synoptic Station,19.11056,100.8025
331402,THUNG CHANG,ทุ่งช้าง,186,9,และ,น่าน,Synoptic Station,19.41194,100.88353
351201,UTTARADIT,อุตรดิตถ์,1,ถนนจิตรเพลินนอก,ท่าอิฐ,อุตรดิตถ์,Synoptic Station,17.61667,100.1
352201,NONG KHAI,หนองคาย,28,10,โพธิ์ชัย,หนองคาย,Synoptic Station,17.86717,102.73303
353201,LOEI,เลย,-,มลิวรรณ,นาอาน,เลย,Synoptic Station,17.45,101.73333
353301,LOEI AGROMET.,เลย สกษ.,81,8,นาโป่ง,เลย,Synoptic Station,17.4,101.73333
354201,UDON THANI,อุดรธานี,551, -,หมากแข้ง ,อุดรธานี,Synoptic Station,17.38333,102.8
356201,SAKON NAKHON,สกลนคร,1351,14,ธาตุเชิงชุม,สกลนคร,Synoptic Station,17.15,104.13333
356301,SAKON NAKHON AGROMET.,สกลนคร สกษ.,143,4,ห้วยยาง,สกลนคร,Synoptic Station,17.12503,104.061
357201,NAKHON PHANOM,นครพนม,272,อภิบาลบัญชา,ในเมือง,นครพนม,Synoptic Station,17.41083,104.7825
357301,NAKHON PHANOM AGROMET.,นครพนม สกษ.,144, ชยางกูร,ขามเฒ่า,นครพนม,Synoptic Station,17.44306,104.77361
360201,NONG BUA LAM PHU,หนองบัวลำภู,ศูนย์ราชการ,-,ลำภู,หนองบัวลำภู,Synoptic Station,17.2325,102.42944
373201,SUKHOTHAI*,สุโขทัย,206 ,3,ทับผึ้ง,สุโขทัย,Synoptic Station,17.10611,99.8
373301,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,3,3,คลองตาล,สุโขทัย,Synoptic Station,17.16136,99.86167
376201,TAK,ตาก,170/5,9,น้ำรึม,ตาก,Synoptic Station,16.87833,99.14333
376202,MAE SOT,แม่สอด,209,1,ท่าสายลวด,ตาก,Synoptic Station,16.65917,98.55083
