rsv_order,nwcc_id,rsv_name,rsv_province,rsv_cap,rsv_cap_lowest,rsv_lastyear_vol,rsv_lastyear_vol_percent,rsv_vol,rsv_vol_percent,rsv_inflow,rsv_outflow,rsv_water_user,rid_order
1,tmp_W5QE4BJ5GY,แม่ออน,เชียงใหม่,4.53,0.8,3.872,85.475,2.115,46.689,0,0,1.315,1
2,tmp_W5Q4PC21NS,ห้วยมะนาว,เชียงใหม่,4.3,0.1,1.946,45.256,1.348,31.349,0,0,1.248,3
3,tmp_W5Q1RJMT8C,โป่งจ้อ,เชียงใหม่,2.6,0.05,1.742,67,0.572,22,0,0,0.522,4
4,tmp_W5NJXWNVDY,แม่ตูบ,เชียงใหม่,39,0.5,20.854,53.472,10.892,27.928,0,0,10.392,5
5,tmp_W5QWD43CTQ,แม่โก๋น,เชียงใหม่,5.53,0.32,5.611,101.465,4.418,79.892,0,0,4.098,6
6,tmp_W5W86M1XPW,ห้วยเดื่อ,เชียงใหม่,4.276,0.283,3.944,92.236,2.017,47.17,0,0,1.734,7
7,tmp_W5WD48YRM6,แม่แหลงหลวง,เชียงใหม่,3.641,0.127,3.651,100.275,1.119,30.733,0,0,0.992,8
8,tmp_W5QQEPPT3G,ห้วยแม่ข้อน,เชียงใหม่,4.08,0.35,4.123,101.054,2.188,53.627,0,0,1.838,9
9,tmp_W5W81U0UXT,แม่ทะลบหลวง,เชียงใหม่,15.3,2.3,13.561,88.634,4.131,27,0,0,1.831,11
10,tmp_W5Q98Q7VGR,แม่ตีบ,ลำพูน,10,0.5,5.17,51.7,2.278,22.78,0,0,1.778,12
11,tmp_W5Q3RFW2VR,แม่สาน,ลำพูน,16,0.26,3.56,22.25,1.684,10.525,0,0,1.424,13
12,tmp_W5Q9CH3RWM,แม่ธิ,ลำพูน,4.5,0.15,4.81,106.889,3.09,68.667,0,0,2.94,14
13,tmp_W5Q27UGU3D,แม่เมย,ลำพูน,3.6,0.28,3.6,100,0.909,25.25,0,0.013,0.629,15
14,tmp_W5X75F251M,ห้วยช้าง,เชียงราย,6.3,0.3,6.317,100.27,1.35,21.429,0,0,1.05,16
15,tmp_W5X0ECGZGT,แม่ต๊าก,เชียงราย,9,1.45,11.11,123.444,3.98,44.222,0,0,2.53,17
16,tmp_W5WB09M658,แม่สรวย,เชียงราย,73,3,57.986,79.433,49.45,67.74,0.112,0.087,46.45,18
